Molecule ChEMBL ID,SMILES,Standard Type,Standard Relation,Standard Value,Standard Units,Mw,logP,HBd,HBa,Max_ring_size,ro5_ok,ro5_count,Cluster
CHEMBL4202590,Cc1ccc(NC(=S)Nc2ccc3[nH]ccc3c2)c(O)c1,IC50,'=',24000.0,nM,297.0935831,3.990820000000001,4,4,6,True,4,318
CHEMBL4214270,Oc1cc(Cl)ccc1NC(=S)Nc1ccc2[nH]ccc2c1,IC50,'=',6300.0,nM,317.038960684,4.335800000000002,4,4,6,True,4,318
CHEMBL4441456,Cc1c(C)c2ccc(OC3CCN(C)CC3)cc2oc1=O,IC50,'=',11700.0,nM,287.152143532,2.8828400000000007,0,4,6,True,4,319
CHEMBL4466478,CCCCN1CCC(Oc2ccc3c(C)c(C)c(=O)oc3c2)CC1,IC50,'=',23900.0,nM,329.199093724,4.0531400000000035,0,4,6,True,4,319
CHEMBL1806757,Cn1c(=O)c2c(nc(OCC3CCCC3)n2C)n(C)c1=O,IC50,'=',22810.0,nM,292.15354049999996,0.5397000000000001,0,7,6,True,4,320
CHEMBL1806761,Cn1c(=O)c2c(nc(OCC3CC=CCC3)n2C)n(C)c1=O,IC50,'=',13755.0,nM,304.15354049999996,0.7057999999999998,0,7,6,True,4,320
CHEMBL1806762,Cn1c(=O)c2c(nc(OCC3CCCCC3)n2C)n(C)c1=O,IC50,'=',18415.0,nM,306.16919056399996,0.9297999999999997,0,7,6,True,4,320
CHEMBL3297785,CC(C)NC(=O)c1cc2cc(Br)cc(Br)c2oc1=O,IC50,'=',22690.0,nM,386.910567412,3.4562000000000017,1,4,6,True,4,321
CHEMBL3261212,CC(C)(C)NC(=O)c1cc2cc(Br)cc(Br)c2oc1=O,IC50,'=',31450.0,nM,400.926217476,3.846300000000002,1,4,6,True,4,321
CHEMBL3297786,CCC(C)NC(=O)c1cc2cc(Br)cc(Br)c2oc1=O,IC50,'=',42310.0,nM,400.926217476,3.846300000000002,1,4,6,True,4,321
CHEMBL2409540,C/C(=N/Nc1nc(-c2ccccc2)cs1)c1ccncc1,IC50,'=',2670.0,nM,294.093917448,4.041200000000003,1,4,6,True,4,322
CHEMBL2409538,C/C(=N\Nc1nc(-c2ccccc2)cs1)c1cccnc1,IC50,'=',21300.0,nM,294.093917448,4.041200000000003,1,4,6,True,4,322
CHEMBL1806763,Cn1c(=O)c2c(nc(OCCOc3ccccc3)n2C)n(C)c1=O,IC50,'=',20350.0,nM,330.132805056,0.4284999999999999,0,8,6,True,4,323
CHEMBL1806767,Cn1c(=O)c2c(nc(OCCOc3ccc(Cl)cc3)n2C)n(C)c1=O,IC50,'=',1830.0,nM,364.093832704,1.0818999999999999,0,8,6,True,4,323
CHEMBL1806768,Cn1c(=O)c2c(nc(OCCOc3ccc(Br)cc3)n2C)n(C)c1=O,IC50,'=',1650.0,nM,408.04331712400005,1.1909999999999996,0,8,6,True,4,323
CHEMBL2062877,CC(=O)c1cc(OCc2ccc(Br)cc2)ccc1O,IC50,'=',2900.0,nM,320.004806376,3.9363000000000024,1,3,6,True,4,324
CHEMBL2062876,CC(=O)c1cc(OCc2cccc(Br)c2)ccc1O,IC50,'=',19700.0,nM,320.004806376,3.9363000000000032,1,3,6,True,4,324
CHEMBL3398533,Cn1c(-c2ccccc2)c(Cl)c2cc(C#N)c(C#N)cc21,IC50,'=',142.0,nM,291.056325,4.242060000000003,0,3,6,True,4,325
CHEMBL3398522,COc1ccc(-c2c(Cl)c3cc(C#N)c(C#N)cc3n2C)cc1,IC50,'=',129.0,nM,321.06688968400005,4.250660000000003,0,4,6,True,4,325
CHEMBL3398523,Cc1ccc(-c2c(Cl)c3cc(C#N)c(C#N)cc3n2C)cc1,IC50,'=',19400.0,nM,305.071975064,4.550480000000004,0,3,6,True,4,325
CHEMBL513549,O=C(Nc1c(F)c(F)nc(F)c1F)c1cc2ccccc2oc1=O,IC50,'=',11430.0,nM,338.0314549319999,2.9967000000000006,1,5,6,True,4,326
CHEMBL472069,O=C(Nc1c(F)cccc1F)c1cc2ccccc2oc1=O,IC50,'=',12760.0,nM,301.055049588,3.323500000000002,1,4,6,True,4,326
